# Table of selected background quantities
# All densities are multiplied by (8piG/3) (below, shortcut notation (.) for this factor) 
# Densities are in units [Mpc^-2] while all distances are in [Mpc]. 
#    1:z                      2:proper time [Gyr]      3:conf. time [Mpc]       4:H [1/Mpc]              5:comov. dist.           6:ang.diam.dist.         7:lum. dist.             8:comov.snd.hrz.         9:(.)rho_g              10:(.)rho_b              11:(.)rho_cdm            12:(.)rho_ncdm[0]        13:(.)p_ncdm[0]          14:(.)rho_lambda         15:(.)rho_ur             16:(.)rho_crit           17:(.)rho_tot            18:(.)p_tot              19:(.)p_tot_prime        20:gr.fac. D             21:gr.fac. f          
       8.697823467967e+13       9.991133137944e-26       5.329638952389e-09       1.632229162529e+22       1.415027915038e+04       1.626875873314e-10       1.230766300725e+18       3.076584364430e-09       1.574785573594e+44       1.638720078825e+33       8.793474090261e+33       3.576441252302e+43       1.192147084101e+43       3.449766788309e-08       7.317423400833e+43       2.664172039012e+44       2.664172039012e+44       8.880573463024e+43      -6.666095737499e+52       1.557147149100e-06       7.167828077816e+00 
       8.637361934426e+13       1.013149856740e-25       5.366018740460e-09       1.609615671954e+22       1.415027915038e+04       1.638264004427e-10       1.222210824950e+18       3.098120454980e-09       1.531452550306e+44       1.604783178509e+33       8.611366567754e+33       3.478029116280e+43       1.159343038760e+43       3.449766788309e-08       7.116071493655e+43       2.590862611401e+44       2.590862611401e+44       8.636208704330e+43      -6.437603046992e+52       1.635004506555e-06       6.826502931254e+00 
       8.577320689599e+13       1.027383599077e-25       5.404217517935e-09       1.587315476821e+22       1.415027915038e+04       1.649731852458e-10       1.213714821202e+18       3.119807298165e-09       1.489311912151e+44       1.571549090843e+33       8.433030381742e+33       3.382324965048e+43       1.127441655016e+43       3.449766788309e-08       6.920260141986e+43       2.519570422955e+44       2.519570422955e+44       8.398568076182e+43      -6.216942363656e+52       1.712861864010e-06       6.516207343469e+00 
       8.517696811915e+13       1.041817311261e-25       5.440597306006e-09       1.565324236621e+22       1.415027915038e+04       1.661279975426e-10       1.205277876069e+18       3.141645949252e-09       1.448330848536e+44       1.539003261005e+33       8.258387430130e+33       3.289254283593e+43       1.096418094531e+43       3.449766788309e-08       6.729836887594e+43       2.450239965752e+44       2.450239965752e+44       8.167466552181e+43      -6.003845231041e+52       1.790719221465e-06       6.232893980709e+00 
       8.458487400115e+13       1.056453802666e-25       5.478796083480e-09       1.543637670981e+22       1.415027915038e+04       1.672908935254e-10       1.196899579016e+18       3.163637470897e-09       1.408477451704e+44       1.507131435590e+33       8.087361228271e+33       3.198744607316e+43       1.066248202439e+43       3.449766788309e-08       6.544653467408e+43       2.382817259273e+44       2.382817259273e+44       7.942724197255e+43      -5.798052394537e+52       1.868576578920e-06       5.973190064846e+00 
       8.399689573103e+13       1.071295922140e-25       5.518813850358e-09       1.522251558831e+22       1.415027915038e+04       1.684619297800e-10       1.188579522360e+18       3.185782933193e-09       1.369720691902e+44       1.475919656376e+33       7.919876875468e+33       3.110725465608e+43       1.036908488536e+43       3.449766788309e-08       6.364565698081e+43       2.317249808365e+44       2.317249808365e+44       7.724166027570e+43      -5.599313485962e+52       1.946433936375e-06       5.734262462252e+00 
       8.341300469814e+13       1.086346558550e-25       5.557012627833e-09       1.501161737580e+22       1.415027915038e+04       1.696411632885e-10       1.180317301251e+18       3.208083413725e-09       1.332030393213e+44       1.445354254206e+33       7.755861022171e+33       3.025128326985e+43       1.008376108995e+43       3.449766788309e-08       6.189433363725e+43       2.253486562376e+44       2.253486562376e+44       7.511621874278e+43      -5.407386718963e+52       2.024291293830e-06       5.513713906012e+00 
       8.283317249071e+13       1.101608641351e-25       5.595211405307e-09       1.480364102307e+22       1.415027915038e+04       1.708286514315e-10       1.172112513655e+18       3.230539997621e-09       1.295377210063e+44       1.415421843002e+33       7.595241837858e+33       2.941886545728e+43       9.806288485761e+42       3.449766788309e-08       6.019120106740e+43       2.191477875400e+44       2.191477875400e+44       7.304926251034e+43      -5.222038594862e+52       2.102148651285e-06       5.309502279863e+00 
       8.225737089444e+13       1.117085141154e-25       5.635229172185e-09       1.459854604962e+22       1.415027915038e+04       1.720244519915e-10       1.163964760333e+18       3.253153777604e-09       1.259732604377e+44       1.386109313906e+33       7.437948979571e+33       2.860935309995e+43       9.536451033316e+42       3.449766788309e-08       5.853493321650e+43       2.131175467630e+44       2.131175467630e+44       7.103918225139e+43      -5.043043618573e+52       2.180006008740e-06       5.119877198439e+00 
       8.168557189121e+13       1.132779070302e-25       5.673427949660e-09       1.439629253579e+22       1.415027915038e+04       1.732286231555e-10       1.155873644819e+18       3.275925854047e-09       1.225068823353e+44       1.357403829533e+33       7.283913561112e+33       2.782211591355e+43       9.274038637849e+42       3.449766788309e-08       5.692424051854e+43       2.072532387761e+44       2.072532387761e+44       6.908441292248e+43      -4.870184024273e+52       2.257863366195e-06       4.943329708838e+00 
