# mlight/meV nloc/cm-3 sensitivity
1.652347360698838656e+02 6.658095254078697067e+00 5.817977020997139315e-01
1.744999269680897100e+02 6.658095254078697067e+00 5.156254936210127315e-01
1.842846439927140239e+02 6.658095254078697067e+00 6.352536516724579529e-01
1.946180184804988755e+02 6.658095254078697067e+00 5.848969268780522812e-01
2.055308152467293610e+02 6.658095254078697067e+00 5.955695825426737811e-01
2.170555241791140872e+02 6.658095254078697067e+00 6.787922627284586063e-01
2.292264569675991766e+02 6.658095254078697067e+00 6.886633190301503227e-01
2.420798492581035646e+02 6.658095254078697067e+00 5.855773728559118263e-01
2.556539685343107919e+02 6.658095254078697067e+00 6.113412348528090012e-01
2.699892280487055132e+02 6.658095254078697067e+00 5.311107393496183882e-01
2.851283071420536999e+02 6.658095254078697067e+00 6.687673153057774877e-01
3.011162783095450663e+02 6.658095254078697067e+00 5.849845662137970193e-01
3.180007413919036594e+02 6.658095254078697067e+00 6.394881075150578020e-01
3.358319652909805768e+02 6.658095254078697067e+00 6.629417054466490988e-01
3.546630376317539231e+02 6.658095254078697067e+00 5.969387863825411644e-01
3.745500228163097063e+02 6.658095254078697067e+00 5.919015335704351788e-01
3.955521289403679930e+02 6.658095254078697067e+00 5.924364824698301613e-01
4.177318840693031348e+02 6.658095254078697067e+00 6.351996547801960213e-01
4.411553223984707301e+02 6.658095254078697067e+00 6.408977053638084120e-01
4.658921808520876198e+02 6.658095254078697067e+00 5.965393733175202717e-01
4.920161067059729021e+02 6.658095254078697067e+00 5.099600932174975787e-01
5.196048768523114632e+02 6.658095254078697067e+00 6.438316786936876257e-01
5.487406293592129032e+02 6.658095254078697067e+00 6.295813173437422305e-01
5.795101080145026344e+02 6.658095254078697067e+00 5.532777024070865135e-01
6.120049205817790607e+02 6.658095254078697067e+00 6.129511835896546135e-01
6.463218115376449759e+02 6.658095254078697067e+00 6.308712097812566588e-01
6.825629501021041960e+02 6.658095254078697067e+00 5.759785088444060452e-01
7.208362344196567619e+02 6.658095254078697067e+00 5.989701775200890754e-01
7.612556127967158091e+02 6.658095254078697067e+00 6.182790455848941047e-01
8.039414229517250305e+02 6.658095254078697067e+00 5.869012917858231759e-01
8.490207502880352877e+02 6.658095254078697067e+00 6.753261184881415025e-01
8.966278062561549405e+02 6.658095254078697067e+00 6.373766114454326726e-01
9.469043279318956365e+02 6.658095254078697067e+00 6.266739259213089941e-01
1.000000000000000000e+03 6.658095254078697067e+00 5.704704139985766753e-01
3.999999999999999289e+01 7.152288168621739217e+00 0.000000000000000000e+00
4.224291601598521595e+01 7.152288168621739217e+00 0.000000000000000000e+00
4.461159883833951767e+01 7.152288168621739217e+00 0.000000000000000000e+00
4.711310057666997864e+01 7.152288168621739217e+00 0.000000000000000000e+00
4.975486877282337161e+01 7.152288168621739217e+00 0.000000000000000000e+00
5.254476857391858857e+01 7.152288168621739217e+00 0.000000000000000000e+00
5.549110614868556723e+01 7.152288168621739217e+00 0.000000000000000000e+00
5.860265341682614348e+01 7.152288168621739217e+00 0.000000000000000000e+00
6.188867416502187524e+01 7.152288168621739217e+00 0.000000000000000000e+00
6.535895162734233566e+01 7.152288168621739217e+00 0.000000000000000000e+00
6.902381761216658163e+01 7.152288168621739217e+00 0.000000000000000000e+00
7.289418326233582945e+01 7.152288168621739217e+00 0.000000000000000000e+00
7.698157154011721559e+01 7.152288168621739217e+00 0.000000000000000000e+00
8.129815153369324321e+01 7.152288168621739217e+00 1.191308475591444788e-01
8.585677468731610418e+01 7.152288168621739217e+00 0.000000000000000000e+00
9.067101306299150565e+01 7.152288168621739217e+00 0.000000000000000000e+00
9.575519974760622688e+01 7.152288168621739217e+00 0.000000000000000000e+00
1.011244715258004874e+02 7.152288168621739217e+00 0.000000000000000000e+00
1.067948139456319865e+02 7.152288168621739217e+00 0.000000000000000000e+00
1.127831089112023761e+02 7.152288168621739217e+00 2.301611302493750677e-01
1.191071849439409220e+02 7.152288168621739217e+00 3.043878095147444784e-01
1.257858702621828968e+02 7.152288168621739217e+00 3.140210294375851974e-01
1.328390488370751541e+02 7.152288168621739217e+00 5.295040271993437520e-01
1.402877195916981350e+02 7.152288168621739217e+00 5.711565066054619111e-01
1.481540589196547160e+02 7.152288168621739217e+00 6.528435821120095461e-01
1.564614867092575139e+02 7.152288168621739217e+00 6.622351397491496039e-01
1.652347360698838656e+02 7.152288168621739217e+00 6.476513302462989508e-01
1.744999269680897100e+02 7.152288168621739217e+00 5.607117504012781861e-01
1.842846439927140239e+02 7.152288168621739217e+00 6.408171831935546292e-01
1.946180184804988755e+02 7.152288168621739217e+00 6.257354005669005792e-01
2.055308152467293610e+02 7.152288168621739217e+00 6.701489612101881876e-01
2.170555241791140872e+02 7.152288168621739217e+00 7.358635515813569672e-01
2.292264569675991766e+02 7.152288168621739217e+00 7.431020507525194496e-01
2.420798492581035646e+02 7.152288168621739217e+00 6.396456306411633097e-01
2.556539685343107919e+02 7.152288168621739217e+00 6.611672003368310735e-01
2.699892280487055132e+02 7.152288168621739217e+00 5.579931926564358768e-01
2.851283071420536999e+02 7.152288168621739217e+00 6.947220134827932769e-01
3.011162783095450663e+02 7.152288168621739217e+00 6.487137907751512333e-01
3.180007413919036594e+02 7.152288168621739217e+00 6.730970498843317218e-01
3.358319652909805768e+02 7.152288168621739217e+00 7.137789882027850696e-01
3.546630376317539231e+02 7.152288168621739217e+00 6.397138237737678423e-01
3.745500228163097063e+02 7.152288168621739217e+00 6.791694803379477730e-01
3.955521289403679930e+02 7.152288168621739217e+00 6.614310269377770002e-01
4.177318840693031348e+02 7.152288168621739217e+00 6.864875190669973426e-01
4.411553223984707301e+02 7.152288168621739217e+00 7.071312314623680040e-01
4.658921808520876198e+02 7.152288168621739217e+00 6.182284324073069604e-01
4.920161067059729021e+02 7.152288168621739217e+00 5.658323131140124973e-01
5.196048768523114632e+02 7.152288168621739217e+00 6.941378379630295248e-01
5.487406293592129032e+02 7.152288168621739217e+00 7.055867919136471489e-01
5.795101080145026344e+02 7.152288168621739217e+00 6.162261121842980138e-01
6.120049205817790607e+02 7.152288168621739217e+00 6.612956024518702458e-01
6.463218115376449759e+02 7.152288168621739217e+00 6.912999946823670250e-01
6.825629501021041960e+02 7.152288168621739217e+00 5.902476074044682441e-01
7.208362344196567619e+02 7.152288168621739217e+00 6.427093422894768482e-01
7.612556127967158091e+02 7.152288168621739217e+00 6.684292111303773432e-01
8.039414229517250305e+02 7.152288168621739217e+00 6.563876956425904741e-01
8.490207502880352877e+02 7.152288168621739217e+00 6.793925949672736664e-01
8.966278062561549405e+02 7.152288168621739217e+00 6.788224184723219423e-01
9.469043279318956365e+02 7.152288168621739217e+00 6.691401596550469177e-01
1.000000000000000000e+03 7.152288168621739217e+00 5.959323220599895832e-01
3.999999999999999289e+01 7.683162240081982119e+00 0.000000000000000000e+00
4.224291601598521595e+01 7.683162240081982119e+00 0.000000000000000000e+00
4.461159883833951767e+01 7.683162240081982119e+00 0.000000000000000000e+00
4.711310057666997864e+01 7.683162240081982119e+00 0.000000000000000000e+00
4.975486877282337161e+01 7.683162240081982119e+00 0.000000000000000000e+00
5.254476857391858857e+01 7.683162240081982119e+00 0.000000000000000000e+00
